Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base,Taker Buy Quote
2022-12-26,5.98900000,6.04800000,5.94000000,6.04800000,1779029.19000000,2022-12-26 23:59:59.999,10661498.31252000,31473,923449.13000000,5534565.14955000
2022-12-27,6.04800000,6.06800000,5.84600000,5.90300000,2483617.20000000,2022-12-27 23:59:59.999,14783476.51445000,39111,1088649.01000000,6476705.28416000
2022-12-28,5.90500000,5.91300000,5.62500000,5.67500000,3313018.41000000,2022-12-28 23:59:59.999,19035813.77013000,55230,1520625.33000000,8737114.55086000
2022-12-29,5.67600000,5.73100000,5.50000000,5.60100000,3568750.37000000,2022-12-29 23:59:59.999,20058605.66270000,53472,1619943.92000000,9102471.49163000
2022-12-30,5.60000000,5.64200000,5.41300000,5.47500000,3416846.41000000,2022-12-30 23:59:59.999,18768827.17925000,57222,1634556.34000000,8978823.03526000
2022-12-31,5.47500000,5.62700000,5.38700000,5.57500000,2312337.82000000,2022-12-31 23:59:59.999,12746327.87999000,34599,1183375.17000000,6518819.56336000
2023-01-01,5.57500000,5.64000000,5.50500000,5.62800000,1468070.67000000,2023-01-01 23:59:59.999,8172481.03839000,26670,734392.41000000,4088728.37190000
2023-01-02,5.63000000,5.76000000,5.54800000,5.69100000,2634300.76000000,2023-01-02 23:59:59.999,14951181.60487000,48511,1297358.83000000,7361706.60682000
2023-01-03,5.69100000,5.72400000,5.56700000,5.62100000,2144096.39000000,2023-01-03 23:59:59.999,12105562.07781000,38441,926286.73000000,5233873.97765000
2023-01-04,5.62100000,5.89500000,5.61000000,5.80900000,3831647.37000000,2023-01-04 23:59:59.999,22133875.52122000,58805,2022892.79000000,11690319.23101000
2023-01-05,5.80900000,5.81800000,5.60600000,5.66000000,2841645.64000000,2023-01-05 23:59:59.999,16251716.14117000,47281,1244968.77000000,7117747.67998000
