date,Open,High,Low,Close,Volume,Quote Asset Volume,Number of Trades,Taker Buy Base,Taker Buy Quote,SMA_5,SMA_20,EMA_12,RSI,MACD,Price_Change,Volatility,High_Low_Ratio,Volume_SMA,Upper_Shadow,Lower_Shadow,Body_Size,Support,Resistance,Price_Position
2022-12-19,5.95,6.066,5.671,5.79,4022803.84,23787722.11608,73506,1899185.51,11247438.36847,6.023599999999998,6.8406999999999965,6.387129931204378,19.681502654144552,-0.2619545967261887,-0.026727181038829984,0.03174318623989429,1.0696526185857873,4011945.651999999,0.11599999999999966,0.11899999999999977,0.16000000000000014,5.671,7.812,0.05558150397010732
2022-12-20,5.789,6.12,5.752,6.013,3550497.69,21314539.93941,62667,1760654.11,10566513.26298,5.934999999999999,6.757749999999997,6.329565593618789,27.87663107947806,-0.2717077804391126,0.0385146804835923,0.03083358648230552,1.0639777468706537,4123968.276999999,0.1070000000000002,0.03699999999999992,0.2240000000000002,5.671,7.812,0.15973843998131698
2022-12-21,6.014,6.044,5.885,5.989,2101320.78,12505987.81068,39051,966000.83,5749011.10183,5.954199999999998,6.673149999999997,6.27716635284433,30.62554300608167,-0.27813576863045686,-0.003991352070513932,0.03074204907599131,1.027017841971113,4132627.5279999985,0.02999999999999936,0.10400000000000009,0.025000000000000355,5.671,7.726,0.15474452554744508
2022-12-22,5.988,6.04,5.856,6.005,2921902.73,17402389.15747,48265,1424919.14,8489506.57898,5.949199999999999,6.592899999999996,6.235291540304446,27.376080036380188,-0.27873394954601327,0.0026715645349808526,0.030911358023530774,1.0314207650273224,4033194.036999998,0.03500000000000014,0.13200000000000056,0.01699999999999946,5.671,7.633,0.1702344546381242
2022-12-23,6.005,6.053,5.924,5.941,2227204.91,13360754.86452,39732,1120076.98,6718962.19768,5.9475999999999996,6.528199999999996,6.190013113591468,28.316086547507055,-0.2810713981180486,-0.010657785179017498,0.02959296447865512,1.0217758271438218,3564619.9849999985,0.04800000000000004,0.01699999999999946,0.06400000000000006,5.671,7.594,0.14040561622464875
2022-12-24,5.94,5.962,5.88,5.916,1051133.66,6223708.58438,22058,504486.42,2987091.71396,5.972799999999999,6.451799999999996,6.147855039966477,28.052190121155647,-0.2816688177885647,-0.004208045783538061,0.028234669221688942,1.0139455782312925,3322752.7499999986,0.021999999999999353,0.036000000000000476,0.02400000000000002,5.671,7.594,0.1274050962038482
2022-12-25,5.915,5.996,5.887,5.99,1728090.48,10247507.22446,29272,804099.81,4769538.34631,5.9682,6.387549999999996,6.123568571932985,32.78370514064015,-0.2730732245819709,0.012508451656524588,0.028564670399825402,1.0185153728554444,3091987.7599999984,0.006000000000000227,0.02800000000000047,0.07500000000000018,5.671,7.336,0.19159159159159156
2022-12-26,5.989,6.048,5.94,6.048,1779029.19,10661498.31252,31473,923449.13,5534565.14955,5.98,6.333349999999996,6.111942201420878,34.59178857951866,-0.2586359427306508,0.00968280467445748,0.028756139272852227,1.018181818181818,2571329.6789999986,0.0,0.04899999999999949,0.05900000000000016,5.671,7.158,0.2535305985205109
2022-12-27,6.048,6.068,5.846,5.903,2483617.2,14783476.51445,39111,1088649.01,6476705.28416,5.959600000000001,6.284449999999995,6.079796226451343,24.914173614516912,-0.2558507389588991,-0.023974867724867788,0.02829960326472476,1.0379746835443038,2407166.272999998,0.019999999999999574,0.056999999999999496,0.14500000000000046,5.671,7.101,0.1622377622377618
2022-12-28,5.905,5.913,5.625,5.675,3313018.41,19035813.77013,55230,1520625.33,8737114.55086,5.906400000000001,6.218199999999996,6.017518210354773,24.672170956775133,-0.2688052578556652,-0.038624428256818555,0.028509021248353965,1.0512000000000001,2517861.888999998,0.008000000000000007,0.04999999999999982,0.23000000000000043,5.625,7.101,0.03387533875338741
2022-12-29,5.676,5.731,5.5,5.601,3568750.37,20058605.6627,53472,1619943.92,9102471.49163,5.843400000000002,6.155099999999996,5.953437028589986,27.15125601282736,-0.28175054034065106,-0.013039647577092528,0.028431417637361917,1.042,2472456.5419999985,0.054999999999999716,0.10099999999999998,0.07500000000000018,5.5,7.101,0.06308557151780136
2022-12-30,5.6,5.642,5.413,5.475,3416846.41,18768827.17925,57222,1634556.34,8978823.03526,5.740400000000001,6.085949999999995,5.8798299156778695,35.425383542538356,-0.29866642189559833,-0.0224959828602036,0.028485870359728643,1.0423055606872345,2459091.413999998,0.0420000000000007,0.06199999999999939,0.125,5.413,7.101,0.03672985781990486
2022-12-31,5.475,5.627,5.387,5.575,2312337.82,12746327.87999,34599,1183375.17,6518819.56336,5.645800000000001,6.029699999999996,5.8329322420767,33.71510379384395,-0.30058071063589065,0.0182648401826484,0.02904392698260442,1.0445516985335066,2480193.117999998,0.0519999999999996,0.08800000000000008,0.10000000000000053,5.387,7.101,0.10968494749124887
